id,dep_fio,fractions,dep_link,frac_link
97,Сыдыгалиев Нурбек Омурбекович,Парламентская фракция «Ата Мекен»,http://kenesh.kg/ru/deputy/show/173/sidigaliev-nurbek-omurbekovich,http://kenesh.kg/ru/fraction/6/show/parlamentskaya-fraktsiya-ata-meken
98,Сырдыбаев Нурлан Муратбаевич,Парламентская фракция «Онугуу-Прогресс»,http://kenesh.kg/ru/deputy/show/181/sirdibaev-nurlan-muratbaevich,http://kenesh.kg/ru/fraction/4/show/parlamentskaya-fraktsiya-onuguu-progress
99,Тагаев Эрмамат Султанович,Парламентская фракция «Бир Бол»,http://kenesh.kg/ru/deputy/show/169/tagaev-ermamat-sultanovich,http://kenesh.kg/ru/fraction/5/show/parlamentskaya-fraktsiya-bir-bol
100,Тиллаев Таабалды Гапырович,Парламентская фракция «Республика - Ата Журт»,http://kenesh.kg/ru/deputy/show/103/tillaev-taabaldi-gapirovich,http://kenesh.kg/ru/fraction/2/show/parlamentskaya-fraktsiya-respublika-ata-zhurt
101,Токторов Алмазбек Сатиевич,Парламентская фракция «Кыргызстан»,http://kenesh.kg/ru/deputy/show/116/toktorov-almazbek-satievich,http://kenesh.kg/ru/fraction/3/show/parlamentskaya-fraktsiya-kirgizstan
102,Токтошев Эмиль Токтакунович,Парламентская фракция «Ата Мекен»,http://kenesh.kg/ru/deputy/show/102/toktoshev-emily-toktakunovich,http://kenesh.kg/ru/fraction/6/show/parlamentskaya-fraktsiya-ata-meken
103,Торобаев Бакыт Эргешевич,Парламентская фракция «Онугуу-Прогресс»,http://kenesh.kg/ru/deputy/show/41/torobaev-bakit-ergeshevich,http://kenesh.kg/ru/fraction/4/show/parlamentskaya-fraktsiya-onuguu-progress
104,Торокулов Дүйшөн Гуламкадырович,Парламентская фракция «Бир Бол»,http://kenesh.kg/ru/deputy/show/134/torokulov-duyshon-gulamkadirovich,http://kenesh.kg/ru/fraction/5/show/parlamentskaya-fraktsiya-bir-bol
105,Тотонов Нурбек Темирбекович,Парламентская фракция «Республика - Ата Журт»,http://kenesh.kg/ru/deputy/show/168/totonov-nurbek-temirbekovich,http://kenesh.kg/ru/fraction/2/show/parlamentskaya-fraktsiya-respublika-ata-zhurt
106,Тулендыбаев Пархат Розымович,Парламентская фракция «Республика - Ата Журт»,http://kenesh.kg/ru/deputy/show/101/tulendibaev-parhat-rozimovich,http://kenesh.kg/ru/fraction/2/show/parlamentskaya-fraktsiya-respublika-ata-zhurt
107,Туманбаева Рада Мураталыевна,Парламентская фракция «Республика - Ата Журт»,http://kenesh.kg/ru/deputy/show/94/tumanbaeva-rada-muratalievna,http://kenesh.kg/ru/fraction/2/show/parlamentskaya-fraktsiya-respublika-ata-zhurt
108,Турдумамбетов Осмон Жолдошбекович,Парламентская фракция «Онугуу-Прогресс»,http://kenesh.kg/ru/deputy/show/184/turdumambetov-osmon-zholdoshbekovich,http://kenesh.kg/ru/fraction/4/show/parlamentskaya-fraktsiya-onuguu-progress
109,Турсунбаев Азизбек Атакозуевич,Парламентская фракция «Кыргызстан»,http://kenesh.kg/ru/deputy/show/117/tursunbaev-azizbek-atakozuevich,http://kenesh.kg/ru/fraction/3/show/parlamentskaya-fraktsiya-kirgizstan
110,Турусбеков Бактыбек Сагындыкович,Парламентская фракция «Бир Бол»,http://kenesh.kg/ru/deputy/show/167/turusbekov-baktibek-sagindikovich,http://kenesh.kg/ru/fraction/5/show/parlamentskaya-fraktsiya-bir-bol
111,Турускулов Жыргалбек Күрүчбекович,Парламентская фракция «Республика - Ата Журт»,http://kenesh.kg/ru/deputy/show/93/turuskulov-zhirgalbek-kuruchbekovich,http://kenesh.kg/ru/fraction/2/show/parlamentskaya-fraktsiya-respublika-ata-zhurt
112,Урумкалиева Чынара Чалагызовна,Парламентская фракция СДПК,http://kenesh.kg/ru/deputy/show/189/urumkalieva-chinara-chalagizovna,http://kenesh.kg/ru/fraction/1/show/parlamentskaya-fraktsiya-sdpk
113,Шарапов Закир Эшматович,Парламентская фракция «Республика - Ата Журт»,http://kenesh.kg/ru/deputy/show/149/sharapov-zakir-eshmatovich,http://kenesh.kg/ru/fraction/2/show/parlamentskaya-fraktsiya-respublika-ata-zhurt
114,Эгембердиев Максатбек Бакирович,Парламентская фракция СДПК,http://kenesh.kg/ru/deputy/show/125/egemberdiev-maksatbek-bakirovich,http://kenesh.kg/ru/fraction/1/show/parlamentskaya-fraktsiya-sdpk
115,Эсенаманов Замирбек Садыбакасович,Парламентская фракция «Кыргызстан»,http://kenesh.kg/ru/deputy/show/182/esenamanov-zamirbek-sadibakasovich,http://kenesh.kg/ru/fraction/3/show/parlamentskaya-fraktsiya-kirgizstan
116,Юсуров Абдумажит Лелезович,Парламентская фракция «Онугуу-Прогресс»,http://kenesh.kg/ru/deputy/show/58/yusurov-abdumazhit-lelezovich,http://kenesh.kg/ru/fraction/4/show/parlamentskaya-fraktsiya-onuguu-progress
